timestamp,open,high,low,close,volume
2025-06-14 14:00:00,86.27,86.29,85.72,85.75,11832.102
2025-06-14 15:00:00,85.75,85.97,85.05,85.33,22361.316
2025-06-14 16:00:00,85.32,85.47,84.2,84.33,29388.572
2025-06-14 17:00:00,84.33,85.13,84.28,85.03,10392.969
2025-06-14 18:00:00,85.02,85.35,84.25,84.73,9148.17
2025-06-14 19:00:00,84.73,85.22,84.6,84.71,6440.466
2025-06-14 20:00:00,84.72,85.02,84.24,84.87,7681.31
2025-06-14 21:00:00,84.87,85.43,84.72,85.29,6474.902
2025-06-14 22:00:00,85.3,85.39,84.97,85.15,5394.402
2025-06-14 23:00:00,85.14,85.34,85.03,85.18,5156.994
2025-06-15 00:00:00,85.18,85.64,85.03,85.61,8033.799
2025-06-15 01:00:00,85.6,85.7,85.21,85.41,7578.693
2025-06-15 02:00:00,85.42,85.83,85.4,85.59,3933.016
2025-06-15 03:00:00,85.59,85.94,85.56,85.82,5415.546
2025-06-15 04:00:00,85.82,86.2,85.78,86.17,5370.438
2025-06-15 05:00:00,86.16,86.27,85.83,86.19,3415.503
2025-06-15 06:00:00,86.19,86.26,85.63,85.64,5213.318
2025-06-15 07:00:00,85.63,85.64,85.34,85.5,5815.357
2025-06-15 08:00:00,85.51,85.54,85.17,85.28,4493.309
2025-06-15 09:00:00,85.28,85.49,85.01,85.06,5889.73
2025-06-15 10:00:00,85.06,85.55,85.06,85.43,5330.985
2025-06-15 11:00:00,85.42,85.54,85.09,85.35,4683.624
2025-06-15 12:00:00,85.35,85.94,85.29,85.93,6384.401
2025-06-15 13:00:00,85.92,86.45,85.81,86.29,9067.925
2025-06-15 14:00:00,86.3,86.59,85.87,86.46,11065.242
2025-06-15 15:00:00,86.46,86.48,86.12,86.14,6838.181
2025-06-15 16:00:00,86.14,86.34,85.87,86.12,9550.904
2025-06-15 17:00:00,86.12,86.27,85.76,86.09,5732.84
2025-06-15 18:00:00,86.09,86.11,85.6,85.92,7502.044
2025-06-15 19:00:00,85.93,86.35,85.77,86.08,8740.467
2025-06-15 20:00:00,86.08,86.15,85.08,85.28,9035.717
2025-06-15 21:00:00,85.26,85.48,84.92,85.47,8611.712
2025-06-15 22:00:00,85.47,86.27,85.42,86.13,9891.691
2025-06-15 23:00:00,86.14,86.37,86.03,86.3,8294.094
2025-06-16 00:00:00,86.3,86.51,85.89,86.12,9506.248
